timestamp,symbol,action,decision,best_side,best_confidence,buy_confidence,sell_confidence,buy_score,sell_score,buy_base_score,sell_base_score,buy_smc_score,sell_smc_score,buy_participation_score,sell_participation_score,buy_hard_ok,sell_hard_ok,buy_level_ok,sell_level_ok,buy_level,sell_level,buy_level_source,sell_level_source,buy_smc_sweep,sell_smc_sweep,buy_smc_order_block,sell_smc_order_block,buy_smc_fvg_support,sell_smc_fvg_support,buy_smc_fvg_block,sell_smc_fvg_block,btc_trend,btc_corr,relative_strength,entry_close,trend_close,confirm_close,futures_context_available,oi_change_pct,taker_buy_sell_ratio,global_long_short_ratio,top_long_short_ratio,funding_rate,skip_reason
2026-06-21T09:43:51,BTCUSDT,NO_SIGNAL,NONE,SELL,90.94,52.32,90.94,17.79,30.92,17,24,1.29,2.92,-0.5,4.0,False,False,True,True,63136.2,68687.0,4h_pivot,1d_pivot,,,4h_ob,1d_ob,4h_bullish_fvg,1d_bearish_fvg,1d_bearish_fvg,,BEARISH,1.0,0,64398.8,64270.0,64398.8,True,1.19,0.7863,1.6674,1.202,4.841e-05,NO_FINAL_SIGNAL
2026-06-21T09:43:55,ETHUSDT,NO_SIGNAL,NONE,SELL,68.12,60.29,68.12,20.5,23.16,19,22,1.5,0.66,0,0.5,False,False,True,True,1670.56,1749.13,4h_pivot,4h_pivot,,,4h_ob,4h_ob,4h_bullish_fvg,4h_bearish_fvg,4h_bearish_fvg,4h_bullish_fvg,BEARISH,0.9,2.88,1737.03,1740.0,1737.03,True,0.21,0.9997,2.0618,1.5213,3.178e-05,NO_FINAL_SIGNAL
2026-06-21T09:43:59,BCHUSDT,NO_SIGNAL,NONE,SELL,95.56,30.26,95.56,10.29,32.49,10,30,-0.21,2.49,0.5,0,False,False,False,True,,200.79,,4h_pivot,,,4h_ob,4h_ob,,1d_bearish_fvg,1d_bearish_fvg,,BEARISH,0.65,-2.52,199.53,199.91,199.53,True,-0.94,1.048,1.6157,0.8426,-0.00021787,NO_FINAL_SIGNAL
2026-06-21T09:44:02,XRPUSDT,NO_SIGNAL,NONE,SELL,94.41,49.03,94.41,16.67,32.1,14,29,1.17,1.1,1.5,2.0,False,False,True,True,1.1336,1.155,4h_pivot,4h_pivot,,,4h_ob,4h_ob,4h_bullish_fvg,4h_bearish_fvg,1d_bearish_fvg,4h_bullish_fvg,BEARISH,0.85,0.14,1.149,1.1494,1.149,True,1.72,1.0177,2.7736,1.8168,-3.172e-05,NO_FINAL_SIGNAL
2026-06-21T09:44:06,LTCUSDT,NO_SIGNAL,NONE,SELL,81.79,48.15,81.79,16.37,27.81,17,24,2.87,1.31,-3.5,2.5,False,False,True,True,43.69,44.56,4h_pivot,4h_pivot,,,4h_ob,1d_ob,4h_bullish_fvg,4h_bearish_fvg,,4h_bullish_fvg,BEARISH,0.77,2.04,44.48,44.49,44.48,True,-0.32,0.8916,2.3568,2.2066,-6.101e-05,NO_FINAL_SIGNAL
2026-06-21T09:44:09,TRXUSDT,NO_SIGNAL,NONE,BUY,80.09,80.09,49.18,27.23,16.72,27,13,2.73,2.72,-2.5,1,False,False,True,True,0.3192,0.32667,4h_pivot,1d_pivot,,4h,1d_ob,1d_ob,1d_bullish_fvg,4h_bearish_fvg,,4h_bullish_fvg,BEARISH,0.24,2.22,0.32617,0.32659,0.32617,True,-1.2,0.823,1.4343,0.7033,-4.819e-05,NO_FINAL_SIGNAL
2026-06-21T09:44:14,ETCUSDT,NO_SIGNAL,NONE,SELL,73.53,52.59,73.53,17.88,25.0,15,26,2.88,-1.5,0,0.5,False,False,True,True,7.095,7.534,4h_pivot,4h_pivot,,,4h_ob,,4h_bullish_fvg,,,4h_bullish_fvg,BEARISH,0.75,2.39,7.423,7.452,7.423,True,-0.11,0.9557,1.5157,1.7192,0.0001,NO_FINAL_SIGNAL
2026-06-21T09:44:18,LINKUSDT,NO_SIGNAL,NONE,SELL,81.62,49.38,81.62,16.79,27.75,15,29,2.79,-0.75,-1,-0.5,False,False,True,True,7.818,7.98,4h_pivot,4h_pivot,,,4h_ob,,4h_bullish_fvg,1d_bearish_fvg,,4h_bullish_fvg,BEARISH,0.84,-0.04,7.967,7.983,7.967,True,-3.69,0.9662,1.8952,1.7772,2.285e-05,NO_FINAL_SIGNAL
2026-06-21T09:44:21,XLMUSDT,NO_SIGNAL,NONE,BUY,64.71,64.71,41.74,22.0,14.19,24,13,-0.5,-0.81,-1.5,2,False,False,True,True,0.20199,0.23462,1d_pivot,4h_pivot,,,,,4h_bullish_fvg,1d_bearish_fvg,1d_bearish_fvg,1d_bullish_fvg,BEARISH,0.29,12.25,0.21426,0.21605,0.21426,True,-0.36,0.931,1.1482,0.8523,-0.00016449,NO_FINAL_SIGNAL
2026-06-21T09:44:24,XMRUSDT,SIGNAL,SELL,SELL,100,27.47,100,9.34,37.91,10,31,-0.66,3.41,0.0,3.5,False,True,True,True,302.05,320.98,1d_pivot,4h_pivot,,1h,,4h_ob,4h_bullish_fvg,,,,BEARISH,0.4,-11.46,316.11,321.27,316.11,True,1.01,0.814,0.9257,0.5622,0.00011195,
2026-06-21T09:44:25,XMRUSDT,TRADE_OPENED,SELL,SELL,100,27.47,100,9.34,37.91,10,31,-0.66,3.41,0.0,3.5,False,True,True,True,302.05,320.98,1d_pivot,4h_pivot,,1h,,4h_ob,4h_bullish_fvg,,,,BEARISH,0.4,-11.46,316.11,321.27,316.11,True,1.01,0.814,0.9257,0.5622,0.00011195,
2026-06-21T09:44:30,DASHUSDT,NO_SIGNAL,NONE,SELL,65.0,60.29,65.0,20.5,22.1,21,20,3.0,-0.4,-3.5,2.5,False,False,True,True,33.26,37.04,1d_pivot,1d_pivot,,,4h_ob,4h_ob,1d_bullish_fvg,,,1d_bullish_fvg,BEARISH,0.55,5.71,36.79,36.92,36.79,True,-0.47,0.8242,1.3742,3.8271,-2.812e-05,NO_FINAL_SIGNAL
2026-06-21T09:44:33,ZECUSDT,NO_SIGNAL,NONE,BUY,100.0,100.0,35.29,34.0,12.0,29,12,3.0,-1.5,2.0,1.5,False,False,True,True,460.5,481.73,4h_pivot,1d_pivot,,,4h_ob,,4h_bullish_fvg,,,4h_bullish_fvg,BEARISH,0.5,12.8,470.71,470.5,470.71,True,2.68,0.9755,0.8957,0.6946,-0.0003306,NO_FINAL_SIGNAL
2026-06-21T09:44:35,XTZUSDT,NO_SIGNAL,NONE,SELL,94.41,33.35,94.41,11.34,32.1,10,31,1.34,1.1,0,0,False,False,True,True,0.2255,0.2405,4h_pivot,4h_pivot,,,4h_ob,4h_ob,4h_bullish_fvg,1d_bearish_fvg,1d_bearish_fvg,4h_bullish_fvg,BEARISH,0.67,-0.58,0.2362,0.237,0.2362,False,,,,,,NO_FINAL_SIGNAL
